"Notes"	"Single-Year Ages"	"Single-Year Ages Code"	"Year"	"Year Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"16 years"	"16"	"2018"	"2018"	"Mar., 2018"	"2018/03"	116	Not Applicable	Not Applicable
	"16 years"	"16"	"2018"	"2018"	"Apr., 2018"	"2018/04"	112	Not Applicable	Not Applicable
	"16 years"	"16"	"2018"	"2018"	"May, 2018"	"2018/05"	133	Not Applicable	Not Applicable
	"16 years"	"16"	"2018"	"2018"	"Jun., 2018"	"2018/06"	122	Not Applicable	Not Applicable
	"16 years"	"16"	"2018"	"2018"	"Jul., 2018"	"2018/07"	140	Not Applicable	Not Applicable
	"16 years"	"16"	"2018"	"2018"	"Aug., 2018"	"2018/08"	126	Not Applicable	Not Applicable
	"16 years"	"16"	"2018"	"2018"	"Sep., 2018"	"2018/09"	120	Not Applicable	Not Applicable
	"16 years"	"16"	"2018"	"2018"	"Oct., 2018"	"2018/10"	130	Not Applicable	Not Applicable
	"16 years"	"16"	"2018"	"2018"	"Nov., 2018"	"2018/11"	122	Not Applicable	Not Applicable
	"16 years"	"16"	"2018"	"2018"	"Dec., 2018"	"2018/12"	115	Not Applicable	Not Applicable
	"16 years"	"16"	"2019"	"2019"	"Jan., 2019"	"2019/01"	114	Not Applicable	Not Applicable
	"16 years"	"16"	"2019"	"2019"	"Feb., 2019"	"2019/02"	101	Not Applicable	Not Applicable
	"16 years"	"16"	"2019"	"2019"	"Mar., 2019"	"2019/03"	125	Not Applicable	Not Applicable
	"16 years"	"16"	"2019"	"2019"	"Apr., 2019"	"2019/04"	124	Not Applicable	Not Applicable
	"16 years"	"16"	"2019"	"2019"	"May, 2019"	"2019/05"	140	Not Applicable	Not Applicable
	"16 years"	"16"	"2019"	"2019"	"Jun., 2019"	"2019/06"	150	Not Applicable	Not Applicable
	"16 years"	"16"	"2019"	"2019"	"Jul., 2019"	"2019/07"	115	Not Applicable	Not Applicable
	"16 years"	"16"	"2019"	"2019"	"Aug., 2019"	"2019/08"	124	Not Applicable	Not Applicable
	"16 years"	"16"	"2019"	"2019"	"Sep., 2019"	"2019/09"	130	Not Applicable	Not Applicable
	"16 years"	"16"	"2019"	"2019"	"Oct., 2019"	"2019/10"	116	Not Applicable	Not Applicable
	"16 years"	"16"	"2019"	"2019"	"Nov., 2019"	"2019/11"	105	Not Applicable	Not Applicable
	"16 years"	"16"	"2019"	"2019"	"Dec., 2019"	"2019/12"	141	Not Applicable	Not Applicable
	"16 years"	"16"	"2020"	"2020"	"Jan., 2020"	"2020/01"	129	Not Applicable	Not Applicable
	"16 years"	"16"	"2020"	"2020"	"Feb., 2020"	"2020/02"	130	Not Applicable	Not Applicable
	"16 years"	"16"	"2020"	"2020"	"Mar., 2020"	"2020/03"	134	Not Applicable	Not Applicable
	"16 years"	"16"	"2020"	"2020"	"Apr., 2020"	"2020/04"	141	Not Applicable	Not Applicable
	"16 years"	"16"	"2020"	"2020"	"May, 2020"	"2020/05"	160	Not Applicable	Not Applicable
	"16 years"	"16"	"2020"	"2020"	"Jun., 2020"	"2020/06"	167	Not Applicable	Not Applicable
	"16 years"	"16"	"2020"	"2020"	"Jul., 2020"	"2020/07"	148	Not Applicable	Not Applicable
	"16 years"	"16"	"2020"	"2020"	"Aug., 2020"	"2020/08"	181	Not Applicable	Not Applicable
	"16 years"	"16"	"2020"	"2020"	"Sep., 2020"	"2020/09"	141	Not Applicable	Not Applicable
	"16 years"	"16"	"2020"	"2020"	"Oct., 2020"	"2020/10"	143	Not Applicable	Not Applicable
	"16 years"	"16"	"2020"	"2020"	"Nov., 2020"	"2020/11"	158	Not Applicable	Not Applicable
	"16 years"	"16"	"2020"	"2020"	"Dec., 2020"	"2020/12"	161	Not Applicable	Not Applicable
	"16 years"	"16"	"2021"	"2021"	"Jan., 2021"	"2021/01"	145	Not Applicable	Not Applicable
	"16 years"	"16"	"2021"	"2021"	"Feb., 2021"	"2021/02"	121	Not Applicable	Not Applicable
	"16 years"	"16"	"2021"	"2021"	"Mar., 2021"	"2021/03"	173	Not Applicable	Not Applicable
	"16 years"	"16"	"2021"	"2021"	"Apr., 2021"	"2021/04"	147	Not Applicable	Not Applicable
	"16 years"	"16"	"2021"	"2021"	"May, 2021"	"2021/05"	174	Not Applicable	Not Applicable
	"16 years"	"16"	"2021"	"2021"	"Jun., 2021"	"2021/06"	147	Not Applicable	Not Applicable
	"16 years"	"16"	"2021"	"2021"	"Jul., 2021"	"2021/07"	183	Not Applicable	Not Applicable
	"16 years"	"16"	"2021"	"2021"	"Aug., 2021"	"2021/08"	171	Not Applicable	Not Applicable
	"16 years"	"16"	"2021"	"2021"	"Sep., 2021"	"2021/09"	183	Not Applicable	Not Applicable
	"16 years"	"16"	"2021"	"2021"	"Oct., 2021"	"2021/10"	171	Not Applicable	Not Applicable
	"16 years"	"16"	"2021"	"2021"	"Nov., 2021"	"2021/11"	173	Not Applicable	Not Applicable
	"16 years"	"16"	"2021"	"2021"	"Dec., 2021"	"2021/12"	156	Not Applicable	Not Applicable
	"16 years"	"16"	"2022 (provisional)"	"2022"	"Jan., 2022 (provisional)"	"2022/01"	155	Not Applicable	Not Applicable
	"16 years"	"16"	"2022 (provisional)"	"2022"	"Feb., 2022 (provisional)"	"2022/02"	158	Not Applicable	Not Applicable
	"16 years"	"16"	"2022 (provisional)"	"2022"	"Mar., 2022 (provisional)"	"2022/03"	158	Not Applicable	Not Applicable
	"16 years"	"16"	"2022 (provisional)"	"2022"	"Apr., 2022 (provisional)"	"2022/04"	139	Not Applicable	Not Applicable
	"16 years"	"16"	"2022 (provisional)"	"2022"	"May, 2022 (provisional)"	"2022/05"	173	Not Applicable	Not Applicable
	"16 years"	"16"	"2022 (provisional)"	"2022"	"Jun., 2022 (provisional)"	"2022/06"	160	Not Applicable	Not Applicable
	"16 years"	"16"	"2022 (provisional)"	"2022"	"Jul., 2022 (provisional)"	"2022/07"	164	Not Applicable	Not Applicable
	"16 years"	"16"	"2022 (provisional)"	"2022"	"Aug., 2022 (provisional)"	"2022/08"	166	Not Applicable	Not Applicable
	"16 years"	"16"	"2022 (provisional)"	"2022"	"Sep., 2022 (provisional)"	"2022/09"	147	Not Applicable	Not Applicable
	"16 years"	"16"	"2022 (provisional)"	"2022"	"Oct., 2022 (provisional)"	"2022/10"	178	Not Applicable	Not Applicable
	"16 years"	"16"	"2022 (provisional)"	"2022"	"Nov., 2022 (provisional)"	"2022/11"	160	Not Applicable	Not Applicable
	"16 years"	"16"	"2022 (provisional)"	"2022"	"Dec., 2022 (provisional)"	"2022/12"	151	Not Applicable	Not Applicable
	"16 years"	"16"	"2023 (provisional and partial)"	"2023"	"Jan., 2023 (provisional)"	"2023/01"	166	Not Applicable	Not Applicable
	"16 years"	"16"	"2023 (provisional and partial)"	"2023"	"Feb., 2023 (provisional)"	"2023/02"	115	Not Applicable	Not Applicable
	"16 years"	"16"	"2023 (provisional and partial)"	"2023"	"Mar., 2023 (provisional)"	"2023/03"	39	Not Applicable	Not Applicable
	"16 years"	"16"	"2023 (provisional and partial)"	"2023"	"Apr., 2023 (provisional and partial)"	"2023/04"	Suppressed	Not Applicable	Not Applicable
	"17 years"	"17"	"2018"	"2018"	"Jan., 2018"	"2018/01"	169	Not Applicable	Not Applicable
	"17 years"	"17"	"2018"	"2018"	"Feb., 2018"	"2018/02"	163	Not Applicable	Not Applicable
	"17 years"	"17"	"2018"	"2018"	"Mar., 2018"	"2018/03"	172	Not Applicable	Not Applicable
	"17 years"	"17"	"2018"	"2018"	"Apr., 2018"	"2018/04"	155	Not Applicable	Not Applicable
	"17 years"	"17"	"2018"	"2018"	"May, 2018"	"2018/05"	183	Not Applicable	Not Applicable
	"17 years"	"17"	"2018"	"2018"	"Jun., 2018"	"2018/06"	199	Not Applicable	Not Applicable
	"17 years"	"17"	"2018"	"2018"	"Jul., 2018"	"2018/07"	178	Not Applicable	Not Applicable
	"17 years"	"17"	"2018"	"2018"	"Aug., 2018"	"2018/08"	159	Not Applicable	Not Applicable
	"17 years"	"17"	"2018"	"2018"	"Sep., 2018"	"2018/09"	179	Not Applicable	Not Applicable
	"17 years"	"17"	"2018"	"2018"	"Oct., 2018"	"2018/10"	154	Not Applicable	Not Applicable
	"17 years"	"17"	"2018"	"2018"	"Nov., 2018"	"2018/11"	151	Not Applicable	Not Applicable
	"17 years"	"17"	"2018"	"2018"	"Dec., 2018"	"2018/12"	166	Not Applicable	Not Applicable
	"17 years"	"17"	"2019"	"2019"	"Jan., 2019"	"2019/01"	154	Not Applicable	Not Applicable
	"17 years"	"17"	"2019"	"2019"	"Feb., 2019"	"2019/02"	140	Not Applicable	Not Applicable
	"17 years"	"17"	"2019"	"2019"	"Mar., 2019"	"2019/03"	151	Not Applicable	Not Applicable
	"17 years"	"17"	"2019"	"2019"	"Apr., 2019"	"2019/04"	149	Not Applicable	Not Applicable
	"17 years"	"17"	"2019"	"2019"	"May, 2019"	"2019/05"	145	Not Applicable	Not Applicable
	"17 years"	"17"	"2019"	"2019"	"Jun., 2019"	"2019/06"	167	Not Applicable	Not Applicable
	"17 years"	"17"	"2019"	"2019"	"Jul., 2019"	"2019/07"	162	Not Applicable	Not Applicable
	"17 years"	"17"	"2019"	"2019"	"Aug., 2019"	"2019/08"	158	Not Applicable	Not Applicable
	"17 years"	"17"	"2019"	"2019"	"Sep., 2019"	"2019/09"	168	Not Applicable	Not Applicable
	"17 years"	"17"	"2019"	"2019"	"Oct., 2019"	"2019/10"	188	Not Applicable	Not Applicable
	"17 years"	"17"	"2019"	"2019"	"Nov., 2019"	"2019/11"	172	Not Applicable	Not Applicable
	"17 years"	"17"	"2019"	"2019"	"Dec., 2019"	"2019/12"	132	Not Applicable	Not Applicable
	"17 years"	"17"	"2020"	"2020"	"Jan., 2020"	"2020/01"	172	Not Applicable	Not Applicable
	"17 years"	"17"	"2020"	"2020"	"Feb., 2020"	"2020/02"	154	Not Applicable	Not Applicable
	"17 years"	"17"	"2020"	"2020"	"Mar., 2020"	"2020/03"	149	Not Applicable	Not Applicable
	"17 years"	"17"	"2020"	"2020"	"Apr., 2020"	"2020/04"	161	Not Applicable	Not Applicable
	"17 years"	"17"	"2020"	"2020"	"May, 2020"	"2020/05"	208	Not Applicable	Not Applicable
	"17 years"	"17"	"2020"	"2020"	"Jun., 2020"	"2020/06"	194	Not Applicable	Not Applicable
	"17 years"	"17"	"2020"	"2020"	"Jul., 2020"	"2020/07"	236	Not Applicable	Not Applicable
	"17 years"	"17"	"2020"	"2020"	"Aug., 2020"	"2020/08"	205	Not Applicable	Not Applicable
	"17 years"	"17"	"2020"	"2020"	"Sep., 2020"	"2020/09"	196	Not Applicable	Not Applicable
	"17 years"	"17"	"2020"	"2020"	"Oct., 2020"	"2020/10"	194	Not Applicable	Not Applicable
	"17 years"	"17"	"2020"	"2020"	"Nov., 2020"	"2020/11"	188	Not Applicable	Not Applicable
	"17 years"	"17"	"2020"	"2020"	"Dec., 2020"	"2020/12"	172	Not Applicable	Not Applicable
	"17 years"	"17"	"2021"	"2021"	"Jan., 2021"	"2021/01"	208	Not Applicable	Not Applicable
	"17 years"	"17"	"2021"	"2021"	"Feb., 2021"	"2021/02"	172	Not Applicable	Not Applicable
	"17 years"	"17"	"2021"	"2021"	"Mar., 2021"	"2021/03"	203	Not Applicable	Not Applicable
	"17 years"	"17"	"2021"	"2021"	"Apr., 2021"	"2021/04"	225	Not Applicable	Not Applicable
	"17 years"	"17"	"2021"	"2021"	"May, 2021"	"2021/05"	230	Not Applicable	Not Applicable
	"17 years"	"17"	"2021"	"2021"	"Jun., 2021"	"2021/06"	242	Not Applicable	Not Applicable
	"17 years"	"17"	"2021"	"2021"	"Jul., 2021"	"2021/07"	234	Not Applicable	Not Applicable
	"17 years"	"17"	"2021"	"2021"	"Aug., 2021"	"2021/08"	218	Not Applicable	Not Applicable
	"17 years"	"17"	"2021"	"2021"	"Sep., 2021"	"2021/09"	234	Not Applicable	Not Applicable
	"17 years"	"17"	"2021"	"2021"	"Oct., 2021"	"2021/10"	243	Not Applicable	Not Applicable
	"17 years"	"17"	"2021"	"2021"	"Nov., 2021"	"2021/11"	185	Not Applicable	Not Applicable
	"17 years"	"17"	"2021"	"2021"	"Dec., 2021"	"2021/12"	200	Not Applicable	Not Applicable
	"17 years"	"17"	"2022 (provisional)"	"2022"	"Jan., 2022 (provisional)"	"2022/01"	199	Not Applicable	Not Applicable
	"17 years"	"17"	"2022 (provisional)"	"2022"	"Feb., 2022 (provisional)"	"2022/02"	170	Not Applicable	Not Applicable
	"17 years"	"17"	"2022 (provisional)"	"2022"	"Mar., 2022 (provisional)"	"2022/03"	209	Not Applicable	Not Applicable
	"17 years"	"17"	"2022 (provisional)"	"2022"	"Apr., 2022 (provisional)"	"2022/04"	206	Not Applicable	Not Applicable
	"17 years"	"17"	"2022 (provisional)"	"2022"	"May, 2022 (provisional)"	"2022/05"	205	Not Applicable	Not Applicable
	"17 years"	"17"	"2022 (provisional)"	"2022"	"Jun., 2022 (provisional)"	"2022/06"	220	Not Applicable	Not Applicable
	"17 years"	"17"	"2022 (provisional)"	"2022"	"Jul., 2022 (provisional)"	"2022/07"	218	Not Applicable	Not Applicable
	"17 years"	"17"	"2022 (provisional)"	"2022"	"Aug., 2022 (provisional)"	"2022/08"	235	Not Applicable	Not Applicable
	"17 years"	"17"	"2022 (provisional)"	"2022"	"Sep., 2022 (provisional)"	"2022/09"	213	Not Applicable	Not Applicable
	"17 years"	"17"	"2022 (provisional)"	"2022"	"Oct., 2022 (provisional)"	"2022/10"	239	Not Applicable	Not Applicable
	"17 years"	"17"	"2022 (provisional)"	"2022"	"Nov., 2022 (provisional)"	"2022/11"	218	Not Applicable	Not Applicable
	"17 years"	"17"	"2022 (provisional)"	"2022"	"Dec., 2022 (provisional)"	"2022/12"	206	Not Applicable	Not Applicable
	"17 years"	"17"	"2023 (provisional and partial)"	"2023"	"Jan., 2023 (provisional)"	"2023/01"	210	Not Applicable	Not Applicable
	"17 years"	"17"	"2023 (provisional and partial)"	"2023"	"Feb., 2023 (provisional)"	"2023/02"	170	Not Applicable	Not Applicable
	"17 years"	"17"	"2023 (provisional and partial)"	"2023"	"Mar., 2023 (provisional)"	"2023/03"	68	Not Applicable	Not Applicable
	"17 years"	"17"	"2023 (provisional and partial)"	"2023"	"Apr., 2023 (provisional and partial)"	"2023/04"	Suppressed	Not Applicable	Not Applicable
	"18 years"	"18"	"2018"	"2018"	"Jan., 2018"	"2018/01"	227	Not Applicable	Not Applicable
	"18 years"	"18"	"2018"	"2018"	"Feb., 2018"	"2018/02"	197	Not Applicable	Not Applicable
	"18 years"	"18"	"2018"	"2018"	"Mar., 2018"	"2018/03"	221	Not Applicable	Not Applicable
	"18 years"	"18"	"2018"	"2018"	"Apr., 2018"	"2018/04"	213	Not Applicable	Not Applicable
	"18 years"	"18"	"2018"	"2018"	"May, 2018"	"2018/05"	237	Not Applicable	Not Applicable
	"18 years"	"18"	"2018"	"2018"	"Jun., 2018"	"2018/06"	231	Not Applicable	Not Applicable
	"18 years"	"18"	"2018"	"2018"	"Jul., 2018"	"2018/07"	254	Not Applicable	Not Applicable
	"18 years"	"18"	"2018"	"2018"	"Aug., 2018"	"2018/08"	214	Not Applicable	Not Applicable
	"18 years"	"18"	"2018"	"2018"	"Sep., 2018"	"2018/09"	229	Not Applicable	Not Applicable
	"18 years"	"18"	"2018"	"2018"	"Oct., 2018"	"2018/10"	257	Not Applicable	Not Applicable
	"18 years"	"18"	"2018"	"2018"	"Nov., 2018"	"2018/11"	208	Not Applicable	Not Applicable
	"18 years"	"18"	"2018"	"2018"	"Dec., 2018"	"2018/12"	213	Not Applicable	Not Applicable
	"18 years"	"18"	"2019"	"2019"	"Jan., 2019"	"2019/01"	202	Not Applicable	Not Applicable
	"18 years"	"18"	"2019"	"2019"	"Feb., 2019"	"2019/02"	180	Not Applicable	Not Applicable
	"18 years"	"18"	"2019"	"2019"	"Mar., 2019"	"2019/03"	212	Not Applicable	Not Applicable
	"18 years"	"18"	"2019"	"2019"	"Apr., 2019"	"2019/04"	204	Not Applicable	Not Applicable
	"18 years"	"18"	"2019"	"2019"	"May, 2019"	"2019/05"	261	Not Applicable	Not Applicable
	"18 years"	"18"	"2019"	"2019"	"Jun., 2019"	"2019/06"	229	Not Applicable	Not Applicable
	"18 years"	"18"	"2019"	"2019"	"Jul., 2019"	"2019/07"	267	Not Applicable	Not Applicable
	"18 years"	"18"	"2019"	"2019"	"Aug., 2019"	"2019/08"	224	Not Applicable	Not Applicable
	"18 years"	"18"	"2019"	"2019"	"Sep., 2019"	"2019/09"	236	Not Applicable	Not Applicable
	"18 years"	"18"	"2019"	"2019"	"Oct., 2019"	"2019/10"	246	Not Applicable	Not Applicable
	"18 years"	"18"	"2019"	"2019"	"Nov., 2019"	"2019/11"	227	Not Applicable	Not Applicable
	"18 years"	"18"	"2019"	"2019"	"Dec., 2019"	"2019/12"	244	Not Applicable	Not Applicable
	"18 years"	"18"	"2020"	"2020"	"Jan., 2020"	"2020/01"	244	Not Applicable	Not Applicable
	"18 years"	"18"	"2020"	"2020"	"Feb., 2020"	"2020/02"	232	Not Applicable	Not Applicable
	"18 years"	"18"	"2020"	"2020"	"Mar., 2020"	"2020/03"	223	Not Applicable	Not Applicable
	"18 years"	"18"	"2020"	"2020"	"Apr., 2020"	"2020/04"	225	Not Applicable	Not Applicable
	"18 years"	"18"	"2020"	"2020"	"May, 2020"	"2020/05"	260	Not Applicable	Not Applicable
	"18 years"	"18"	"2020"	"2020"	"Jun., 2020"	"2020/06"	307	Not Applicable	Not Applicable
	"18 years"	"18"	"2020"	"2020"	"Jul., 2020"	"2020/07"	280	Not Applicable	Not Applicable
	"18 years"	"18"	"2020"	"2020"	"Aug., 2020"	"2020/08"	278	Not Applicable	Not Applicable
	"18 years"	"18"	"2020"	"2020"	"Sep., 2020"	"2020/09"	271	Not Applicable	Not Applicable
	"18 years"	"18"	"2020"	"2020"	"Oct., 2020"	"2020/10"	276	Not Applicable	Not Applicable
	"18 years"	"18"	"2020"	"2020"	"Nov., 2020"	"2020/11"	274	Not Applicable	Not Applicable
	"18 years"	"18"	"2020"	"2020"	"Dec., 2020"	"2020/12"	289	Not Applicable	Not Applicable
	"18 years"	"18"	"2021"	"2021"	"Jan., 2021"	"2021/01"	261	Not Applicable	Not Applicable
	"18 years"	"18"	"2021"	"2021"	"Feb., 2021"	"2021/02"	239	Not Applicable	Not Applicable
	"18 years"	"18"	"2021"	"2021"	"Mar., 2021"	"2021/03"	277	Not Applicable	Not Applicable
	"18 years"	"18"	"2021"	"2021"	"Apr., 2021"	"2021/04"	283	Not Applicable	Not Applicable
	"18 years"	"18"	"2021"	"2021"	"May, 2021"	"2021/05"	303	Not Applicable	Not Applicable
	"18 years"	"18"	"2021"	"2021"	"Jun., 2021"	"2021/06"	350	Not Applicable	Not Applicable
	"18 years"	"18"	"2021"	"2021"	"Jul., 2021"	"2021/07"	302	Not Applicable	Not Applicable
	"18 years"	"18"	"2021"	"2021"	"Aug., 2021"	"2021/08"	292	Not Applicable	Not Applicable
	"18 years"	"18"	"2021"	"2021"	"Sep., 2021"	"2021/09"	286	Not Applicable	Not Applicable
	"18 years"	"18"	"2021"	"2021"	"Oct., 2021"	"2021/10"	309	Not Applicable	Not Applicable
	"18 years"	"18"	"2021"	"2021"	"Nov., 2021"	"2021/11"	281	Not Applicable	Not Applicable
	"18 years"	"18"	"2021"	"2021"	"Dec., 2021"	"2021/12"	288	Not Applicable	Not Applicable
	"18 years"	"18"	"2022 (provisional)"	"2022"	"Jan., 2022 (provisional)"	"2022/01"	242	Not Applicable	Not Applicable
	"18 years"	"18"	"2022 (provisional)"	"2022"	"Feb., 2022 (provisional)"	"2022/02"	249	Not Applicable	Not Applicable
	"18 years"	"18"	"2022 (provisional)"	"2022"	"Mar., 2022 (provisional)"	"2022/03"	272	Not Applicable	Not Applicable
	"18 years"	"18"	"2022 (provisional)"	"2022"	"Apr., 2022 (provisional)"	"2022/04"	243	Not Applicable	Not Applicable
	"18 years"	"18"	"2022 (provisional)"	"2022"	"May, 2022 (provisional)"	"2022/05"	280	Not Applicable	Not Applicable
	"18 years"	"18"	"2022 (provisional)"	"2022"	"Jun., 2022 (provisional)"	"2022/06"	283	Not Applicable	Not Applicable
	"18 years"	"18"	"2022 (provisional)"	"2022"	"Jul., 2022 (provisional)"	"2022/07"	269	Not Applicable	Not Applicable
	"18 years"	"18"	"2022 (provisional)"	"2022"	"Aug., 2022 (provisional)"	"2022/08"	291	Not Applicable	Not Applicable
	"18 years"	"18"	"2022 (provisional)"	"2022"	"Sep., 2022 (provisional)"	"2022/09"	265	Not Applicable	Not Applicable
	"18 years"	"18"	"2022 (provisional)"	"2022"	"Oct., 2022 (provisional)"	"2022/10"	285	Not Applicable	Not Applicable
	"18 years"	"18"	"2022 (provisional)"	"2022"	"Nov., 2022 (provisional)"	"2022/11"	291	Not Applicable	Not Applicable
	"18 years"	"18"	"2022 (provisional)"	"2022"	"Dec., 2022 (provisional)"	"2022/12"	247	Not Applicable	Not Applicable
	"18 years"	"18"	"2023 (provisional and partial)"	"2023"	"Jan., 2023 (provisional)"	"2023/01"	278	Not Applicable	Not Applicable
	"18 years"	"18"	"2023 (provisional and partial)"	"2023"	"Feb., 2023 (provisional)"	"2023/02"	185	Not Applicable	Not Applicable
	"18 years"	"18"	"2023 (provisional and partial)"	"2023"	"Mar., 2023 (provisional)"	"2023/03"	87	Not Applicable	Not Applicable
	"18 years"	"18"	"2023 (provisional and partial)"	"2023"	"Apr., 2023 (provisional and partial)"	"2023/04"	Suppressed	Not Applicable	Not Applicable
	"19 years"	"19"	"2018"	"2018"	"Jan., 2018"	"2018/01"	256	Not Applicable	Not Applicable
	"19 years"	"19"	"2018"	"2018"	"Feb., 2018"	"2018/02"	221	Not Applicable	Not Applicable
	"19 years"	"19"	"2018"	"2018"	"Mar., 2018"	"2018/03"	238	Not Applicable	Not Applicable
	"19 years"	"19"	"2018"	"2018"	"Apr., 2018"	"2018/04"	230	Not Applicable	Not Applicable
	"19 years"	"19"	"2018"	"2018"	"May, 2018"	"2018/05"	287	Not Applicable	Not Applicable
	"19 years"	"19"	"2018"	"2018"	"Jun., 2018"	"2018/06"	253	Not Applicable	Not Applicable
	"19 years"	"19"	"2018"	"2018"	"Jul., 2018"	"2018/07"	236	Not Applicable	Not Applicable
	"19 years"	"19"	"2018"	"2018"	"Aug., 2018"	"2018/08"	242	Not Applicable	Not Applicable
	"19 years"	"19"	"2018"	"2018"	"Sep., 2018"	"2018/09"	263	Not Applicable	Not Applicable
	"19 years"	"19"	"2018"	"2018"	"Oct., 2018"	"2018/10"	263	Not Applicable	Not Applicable
	"19 years"	"19"	"2018"	"2018"	"Nov., 2018"	"2018/11"	253	Not Applicable	Not Applicable
	"19 years"	"19"	"2018"	"2018"	"Dec., 2018"	"2018/12"	230	Not Applicable	Not Applicable
	"19 years"	"19"	"2019"	"2019"	"Jan., 2019"	"2019/01"	227	Not Applicable	Not Applicable
	"19 years"	"19"	"2019"	"2019"	"Feb., 2019"	"2019/02"	216	Not Applicable	Not Applicable
	"19 years"	"19"	"2019"	"2019"	"Mar., 2019"	"2019/03"	257	Not Applicable	Not Applicable
	"19 years"	"19"	"2019"	"2019"	"Apr., 2019"	"2019/04"	249	Not Applicable	Not Applicable
	"19 years"	"19"	"2019"	"2019"	"May, 2019"	"2019/05"	257	Not Applicable	Not Applicable
	"19 years"	"19"	"2019"	"2019"	"Jun., 2019"	"2019/06"	287	Not Applicable	Not Applicable
	"19 years"	"19"	"2019"	"2019"	"Jul., 2019"	"2019/07"	254	Not Applicable	Not Applicable
	"19 years"	"19"	"2019"	"2019"	"Aug., 2019"	"2019/08"	256	Not Applicable	Not Applicable
	"19 years"	"19"	"2019"	"2019"	"Sep., 2019"	"2019/09"	233	Not Applicable	Not Applicable
	"19 years"	"19"	"2019"	"2019"	"Oct., 2019"	"2019/10"	262	Not Applicable	Not Applicable
	"19 years"	"19"	"2019"	"2019"	"Nov., 2019"	"2019/11"	257	Not Applicable	Not Applicable
	"19 years"	"19"	"2019"	"2019"	"Dec., 2019"	"2019/12"	263	Not Applicable	Not Applicable
	"19 years"	"19"	"2020"	"2020"	"Jan., 2020"	"2020/01"	292	Not Applicable	Not Applicable
	"19 years"	"19"	"2020"	"2020"	"Feb., 2020"	"2020/02"	223	Not Applicable	Not Applicable
	"19 years"	"19"	"2020"	"2020"	"Mar., 2020"	"2020/03"	274	Not Applicable	Not Applicable
	"19 years"	"19"	"2020"	"2020"	"Apr., 2020"	"2020/04"	262	Not Applicable	Not Applicable
	"19 years"	"19"	"2020"	"2020"	"May, 2020"	"2020/05"	318	Not Applicable	Not Applicable
	"19 years"	"19"	"2020"	"2020"	"Jun., 2020"	"2020/06"	335	Not Applicable	Not Applicable
	"19 years"	"19"	"2020"	"2020"	"Jul., 2020"	"2020/07"	375	Not Applicable	Not Applicable
	"19 years"	"19"	"2020"	"2020"	"Aug., 2020"	"2020/08"	388	Not Applicable	Not Applicable
	"19 years"	"19"	"2020"	"2020"	"Sep., 2020"	"2020/09"	332	Not Applicable	Not Applicable
	"19 years"	"19"	"2020"	"2020"	"Oct., 2020"	"2020/10"	320	Not Applicable	Not Applicable
	"19 years"	"19"	"2020"	"2020"	"Nov., 2020"	"2020/11"	334	Not Applicable	Not Applicable
	"19 years"	"19"	"2020"	"2020"	"Dec., 2020"	"2020/12"	312	Not Applicable	Not Applicable
	"19 years"	"19"	"2021"	"2021"	"Jan., 2021"	"2021/01"	315	Not Applicable	Not Applicable
	"19 years"	"19"	"2021"	"2021"	"Feb., 2021"	"2021/02"	276	Not Applicable	Not Applicable
	"19 years"	"19"	"2021"	"2021"	"Mar., 2021"	"2021/03"	343	Not Applicable	Not Applicable
	"19 years"	"19"	"2021"	"2021"	"Apr., 2021"	"2021/04"	337	Not Applicable	Not Applicable
	"19 years"	"19"	"2021"	"2021"	"May, 2021"	"2021/05"	331	Not Applicable	Not Applicable
	"19 years"	"19"	"2021"	"2021"	"Jun., 2021"	"2021/06"	346	Not Applicable	Not Applicable
	"19 years"	"19"	"2021"	"2021"	"Jul., 2021"	"2021/07"	341	Not Applicable	Not Applicable
	"19 years"	"19"	"2021"	"2021"	"Aug., 2021"	"2021/08"	341	Not Applicable	Not Applicable
	"19 years"	"19"	"2021"	"2021"	"Sep., 2021"	"2021/09"	352	Not Applicable	Not Applicable
	"19 years"	"19"	"2021"	"2021"	"Oct., 2021"	"2021/10"	364	Not Applicable	Not Applicable
	"19 years"	"19"	"2021"	"2021"	"Nov., 2021"	"2021/11"	314	Not Applicable	Not Applicable
	"19 years"	"19"	"2021"	"2021"	"Dec., 2021"	"2021/12"	333	Not Applicable	Not Applicable
	"19 years"	"19"	"2022 (provisional)"	"2022"	"Jan., 2022 (provisional)"	"2022/01"	275	Not Applicable	Not Applicable
	"19 years"	"19"	"2022 (provisional)"	"2022"	"Feb., 2022 (provisional)"	"2022/02"	276	Not Applicable	Not Applicable
	"19 years"	"19"	"2022 (provisional)"	"2022"	"Mar., 2022 (provisional)"	"2022/03"	281	Not Applicable	Not Applicable
	"19 years"	"19"	"2022 (provisional)"	"2022"	"Apr., 2022 (provisional)"	"2022/04"	268	Not Applicable	Not Applicable
	"19 years"	"19"	"2022 (provisional)"	"2022"	"May, 2022 (provisional)"	"2022/05"	317	Not Applicable	Not Applicable
	"19 years"	"19"	"2022 (provisional)"	"2022"	"Jun., 2022 (provisional)"	"2022/06"	291	Not Applicable	Not Applicable
	"19 years"	"19"	"2022 (provisional)"	"2022"	"Jul., 2022 (provisional)"	"2022/07"	338	Not Applicable	Not Applicable
